name,rating,votes,salary,sectors,location
Blue Star,4.0,2.7k,10.1k,Consumer Electronics & Appliances ,Mumbai
Care Health Insurance,3.5,2.7k,9.2k,Insurance ,Gurugram
KFintech,3.3,2.7k,11.4k,Financial Services ,Hyderabad
Tata Advanced Systems,3.7,2.7k,13.4k,Defence & Aerospace ,Bengaluru
Ajanta Pharma,3.9,2.7k,9.2k,Pharma ,Mumbai
Ajanta Pharma,3.9,2.7k,9.2k,Pharma ,Mumbai
G4S,4.0,2.7k,5.2k,Law Enforcement & Security ,Gurugram
Sonalika Tractors,3.5,2.7k,9.3k,Automobile ,Hoshiarpur
Capita,3.5,2.7k,12.4k,BPO ,Pune
Voltas,4.0,2.7k,8.7k,Consumer Electronics & Appliances ,Mumbai
Photon Interactive,4.1,2.7k,7.8k,IT Services & Consulting ,Chennai
Whitehat jr,3.3,2.7k,8.9k,EdTech ,Mumbai
Adani Power,3.7,2.7k,10.1k,Power ,Mundra
ACT Fibernet,3.8,2.7k,8k,Telecom ,Hyderabad
DBS Bank,3.7,2.7k,13.5k,Banking ,Hyderabad
BlackBuck,3.7,2.7k,6.8k,Internet ,Bengaluru
NoBroker,3.0,2.7k,11.2k,Internet ,Bengaluru
Foundever,3.3,2.7k,9.4k,BPO ,Hyderabad
Himalaya Wellness,3.9,2.7k,6.2k,Pharma ,Bengaluru
IntouchCX,2.7,2.7k,10.7k,BPO ,Hyderabad
Laurus Labs,4.3,2.6k,7.5k,Pharma ,Visakhapatnam
Fortis Healthcare,4.0,2.6k,7.8k,Healthcare ,New
Domino's Pizza,3.9,2.6k,4.4k,Hospitality ,New
BT Group,3.8,2.6k,12.2k,Telecom ,Gurugram
GAO Tek,4.4,2.6k,267,Electrical Equipment ,New
V-Mart,4.0,2.6k,4.6k,Retail ,Gurugram
JCB,3.8,2.6k,10k,Industrial Machinery ,Pune
Sahrudaya Healthcare (Medicover Hospitals),4.3,2.6k,3.7k,Healthcare ,Hyderabad
Alldigi Tech,3.8,2.6k,7.6k,BPO ,Chennai
